time,temp
21.11.2023,-4.46
20.11.2023,-4.96
19.11.2023,-5.75
18.11.2023,-6.21
17.11.2023,-3.98
16.11.2023,-1.85
15.11.2023,1.00
14.11.2023,0.48
13.11.2023,2.17
12.11.2023,5.71
11.11.2023,5.94
10.11.2023,6.50
09.11.2023,6.15
08.11.2023,6.85
07.11.2023,6.58
06.11.2023,6.24
05.11.2023,6.58
04.11.2023,4.69
03.11.2023,1.73
02.11.2023,3.19
01.11.2023,8.31
31.10.2023,-0.48
30.10.2023,0.48
29.10.2023,0.23
28.10.2023,-0.31
27.10.2023,-1.56
26.10.2023,-2.19
25.10.2023,0.44
24.10.2023,2.06
23.10.2023,3.15
22.10.2023,0.42
21.10.2023,0.23
20.10.2023,2.29
19.10.2023,2.58
18.10.2023,3.27
17.10.2023,4.62
16.10.2023,5.29
15.10.2023,8.40
14.10.2023,10.79
13.10.2023,8.58
12.10.2023,9.69
11.10.2023,7.21
10.10.2023,2.67
09.10.2023,3.54
08.10.2023,3.31
07.10.2023,5.79
06.10.2023,6.52
05.10.2023,10.48
04.10.2023,12.00
03.10.2023,11.67
02.10.2023,10.96
01.10.2023,13.00
30.09.2023,16.21
29.09.2023,16.40
28.09.2023,15.40
27.09.2023,14.60
26.09.2023,13.25
25.09.2023,13.56
24.09.2023,15.96
23.09.2023,19.77
22.09.2023,17.83
21.09.2023,17.92
20.09.2023,16.85
19.09.2023,14.02
18.09.2023,11.56
17.09.2023,13.04
16.09.2023,12.62
15.09.2023,11.44
14.09.2023,15.40
13.09.2023,19.67
12.09.2023,18.69
11.09.2023,17.92
10.09.2023,16.85
09.09.2023,14.65
08.09.2023,15.69
07.09.2023,12.77
06.09.2023,14.88
05.09.2023,17.23
04.09.2023,15.42
03.09.2023,15.06
02.09.2023,17.56
01.09.2023,19.67
31.08.2023,21.58
30.08.2023,17.02
29.08.2023,16.77
28.08.2023,16.71
27.08.2023,16.77
26.08.2023,17.10
25.08.2023,16.75
24.08.2023,14.41
23.08.2023,16.06
22.08.2023,16.88
21.08.2023,16.81
20.08.2023,17.62
19.08.2023,16.62
18.08.2023,18.17
17.08.2023,21.29
16.08.2023,21.04
15.08.2023,19.52
14.08.2023,19.88
13.08.2023,20.38
12.08.2023,19.35
11.08.2023,20.06
10.08.2023,19.62
09.08.2023,19.23
08.08.2023,22.95
